op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_cdata_many,67108864,cand-off,1,1,26707709.0,26662000.0
parse_cdata_many,67108864,cand-auto8,8,1,7529325.0,27916000.0
parse_cdata_many,67108864,cand-auto16,16,1,7405555.0,37196000.0
parse_cdata_many,67108864,cand-on8,8,1,8390860.0,35591000.0
parse_cdata_many,67108864,cand-on8,8,2,7824976.0,31377000.0
parse_cdata_many,67108864,cand-auto16,16,2,7114663.0,36002000.0
parse_cdata_many,67108864,cand-auto8,8,2,8446303.0,34527000.0
parse_cdata_many,67108864,cand-off,1,2,20661857.0,20626000.0
parse_cdata_many,67108864,oracle,1,2,163334601.0,163130000.0
parse_cdata_many,67108864,oracle,1,3,167874298.0,167676000.0
parse_cdata_many,67108864,cand-off,1,3,22386020.0,22360000.0
parse_cdata_many,67108864,cand-auto8,8,3,8109746.0,28089000.0
parse_cdata_many,67108864,cand-auto16,16,3,7644149.0,35121000.0
parse_cdata_many,67108864,cand-on8,8,3,7160368.0,25971000.0
parse_cdata_many,67108864,cand-on8,8,4,7848490.0,31831000.0
parse_cdata_many,67108864,cand-auto16,16,4,7484952.0,36614000.0
parse_cdata_many,67108864,cand-auto8,8,4,7232442.0,26447000.0
parse_cdata_many,67108864,cand-off,1,4,19026521.0,18984000.0
parse_cdata_many,67108864,oracle,1,4,164458966.0,164295000.0
parse_cdata_many,67108864,oracle,1,5,162956558.0,162773000.0
parse_cdata_many,67108864,cand-off,1,5,18302874.0,18285000.0
parse_cdata_many,67108864,cand-auto8,8,5,9723062.0,33739000.0
parse_cdata_many,67108864,cand-auto16,16,5,7426905.0,37736000.0
parse_cdata_many,67108864,cand-on8,8,5,7858489.0,29114000.0
parse_cdata_many,67108864,cand-on8,8,6,7741270.0,31021000.0
parse_cdata_many,67108864,cand-auto16,16,6,7238413.0,36566000.0
parse_cdata_many,67108864,cand-auto8,8,6,8283670.0,28175000.0
parse_cdata_many,67108864,cand-off,1,6,20568043.0,20521000.0
parse_cdata_many,67108864,oracle,1,6,163316199.0,163086000.0
parse_cdata_many,67108864,oracle,1,7,164648320.0,161971000.0
parse_cdata_many,67108864,cand-off,1,7,25746790.0,25713000.0
parse_cdata_many,67108864,cand-auto8,8,7,7921215.0,30985000.0
parse_cdata_many,67108864,cand-auto16,16,7,7472469.0,36983000.0
parse_cdata_many,67108864,cand-on8,8,7,8713321.0,36393000.0
parse_cdata_one,1048576,oracle,1,1,2984490.6,2964777.8
parse_cdata_one,1048576,cand-off,1,1,299603.7,299000.0
parse_cdata_one,1048576,cand-auto8,8,1,117334.1,549000.0
parse_cdata_one,1048576,cand-auto16,16,1,148612.3,1012888.9
parse_cdata_one,1048576,cand-on8,8,1,116507.0,565555.6
parse_cdata_one,1048576,cand-on8,8,2,101993.3,502666.7
parse_cdata_one,1048576,cand-auto16,16,2,122891.1,928666.7
parse_cdata_one,1048576,cand-auto8,8,2,109657.6,548555.6
parse_cdata_one,1048576,cand-off,1,2,306209.2,302777.8
parse_cdata_one,1048576,oracle,1,2,2827072.9,2822666.7
parse_cdata_one,1048576,oracle,1,3,2780094.2,2775555.6
parse_cdata_one,1048576,cand-off,1,3,295294.6,294444.4
parse_cdata_one,1048576,cand-auto8,8,3,106821.1,559888.9
parse_cdata_one,1048576,cand-auto16,16,3,135716.1,989888.9
parse_cdata_one,1048576,cand-on8,8,3,144833.1,524444.4
parse_cdata_one,1048576,cand-on8,8,4,103340.2,513111.1
parse_cdata_one,1048576,cand-auto16,16,4,115913.7,943777.8
parse_cdata_one,1048576,cand-auto8,8,4,127212.4,607333.3
parse_cdata_one,1048576,cand-off,1,4,275790.3,275444.4
parse_cdata_one,1048576,oracle,1,4,2775825.1,2769333.3
parse_cdata_one,1048576,oracle,1,5,2859379.8,2840777.8
parse_cdata_one,1048576,cand-off,1,5,276736.7,276000.0
parse_cdata_one,1048576,cand-auto8,8,5,104931.0,544555.6
parse_cdata_one,1048576,cand-auto16,16,5,131360.2,989444.4
parse_cdata_one,1048576,cand-on8,8,5,121206.9,577555.6
parse_cdata_one,1048576,cand-on8,8,6,114937.4,538000.0
parse_cdata_one,1048576,cand-auto16,16,6,135070.6,1012000.0
parse_cdata_one,1048576,cand-auto8,8,6,99824.8,504111.1
parse_cdata_one,1048576,cand-off,1,6,370810.8,369555.6
parse_cdata_one,1048576,oracle,1,6,2844933.9,2834333.3
parse_cdata_one,1048576,oracle,1,7,2769707.1,2762666.7
parse_cdata_one,1048576,cand-off,1,7,279615.3,279222.2
parse_cdata_one,1048576,cand-auto8,8,7,124705.7,571444.4
parse_cdata_one,1048576,cand-auto16,16,7,190071.9,1076555.6
parse_cdata_one,1048576,cand-on8,8,7,100685.3,536333.3
parse_cdata_one,4194304,oracle,1,1,11247606.5,11220500.0
parse_cdata_one,4194304,cand-off,1,1,1043323.5,1041500.0
parse_cdata_one,4194304,cand-auto8,8,1,431208.0,1865500.0
parse_cdata_one,4194304,cand-auto16,16,1,378790.5,2791500.0
